id,title,employer,salary,gender,years_exp,Location,duties,comments,employer_clean,base_salary_clean,sal_flag,years_exp_clean,location_clean,title_category,geonix
317,Assistant editor,Los Angeles magazine,"37,000",White CIS woman,4,Los Angeles magazine,"I cover housing, homelessness, labor, public policy, and other topics for web",,Los Angeles magazine,37000,,4,Los Angeles,Deputy Editor,
318,Reporter,Los Angeles Times,"$85,000 ",Cis white female,8,Los Angeles,Daily beat reporting,,Los Angeles Times,85000,,8,Los Angeles,Reporter,
319,Audience Engagement Editor,Los Angeles Times,"$68,000 ",cis black woman,2,Los Angeles,Managing social media accounts,,Los Angeles Times,68000,,2,Los Angeles,Editor,
320,Audience Engagement Editor,Los Angeles Times,"$68,000 ",Cis Asian woman,2,Washington DC,,,Los Angeles Times,68000,,2,Washington DC,Editor,
321,Online News Editor,Louisiana Business Inc. (Business Report),"43,000","Cis woman, white",3.5,Baton Rouge,write and edit content for twice-daily online newsletter,"First job: staff writer in Mankato MN, salary was $32,000",Louisiana Business Inc.,43000,,3.5,Baton Rouge,Editor,
322,Producer,Maranatha Broadcasting Co,"43,000",Female / White,3,Allentown Pa,"Selecting content, stacking show, writing, coordinating with talent, line producing","2016: 12.55/hr associate producer;
2018: 15.00/hr producer",Maranatha Broadcasting Co,43000,,3,Allentown Pa,Producer,
324,Creative Coordinator,Marmoset Music,"$42,000 ",Mexican/Chinese Woman,2,"Portland, OR","Negotiate prices for songs used in videos for commercials and TV, search for songs from internal roster",,Marmoset Music,42000,,2,"Portland, OR",Creative Coordinator,
328,Reporter,McClatchy,"42,000",Cis white woman,1,Idaho,"Beat reporting, writing",,McClatchy,42000,,1,Idaho,Reporter,
329,reporter,McClatchy,"35,000",cis white female,5,St. Louis metro area,"beat reporting, photo, video, social media scheduling and copy",,McClatchy,35000,,5,St. Louis,Reporter,
331,Reporter,MediaNews Group,45000,Asian,2,California,"Daily beat reporting, covering government agencies",32000 - Reporter in Indiana,MediaNews Group,45000,,2,California,Reporter,
332,Senior Writer,Medium,"$110,000 ",Cis WOC,7,New York,"Reporting, writing. Mix of quick turnaround stories and features.","Senior Writer, $65K
Writer, $51K
Junior Reporter, $35K
Intern, $10/hour",Medium,110000,,7,New York City,Senior Reporter,
334,Staff Writer,Medium,$85K,"Cis, woman, POC",5,SF,"Writing, reporting, news, features",Reporter: $65K,Medium,85000,,5,San Francisco,Reporter,
338,Editorial assistant,Meredith,"$17/hr (~$35,000)",cis white female,1,Iowa,,"This position started as entry level at $15/hr (~$31,000).",Meredith,,x,1,Iowa,Editorial Assistant,
339,Writer,Meredith,"$64,000 ",cis MOC,3,Los Angeles,"-Write daily news stories
-Report breaking news
-Write features for both online and print
-Be available for podcast or moderator opportunities","$54K->$58K->$61K within a 2+ year duration at BuzzFeed News (plus a $1K bonus one year, and a $250 bonus the next)",Meredith,64000,,3,Los Angeles,Reporter,
343,Senior Video Producer,Meredith Corp,"93,000",white cis het male,9,New York,"Oversee digital video department. Ideate strategy, produce in the field and oversee post production. Pitch and execute videos. Act as camera operator, producer, writer and direct in the field. Edit videos and create graphics packages. Lead campaigns for editorial sponsorship opportunities and respond to RFPs from advertising agencies.","Producer - 76k/year, Freelance video editor for TV at 500/day. Permalance Assistant editor at 67,600/year.",Meredith,93000,,9,New York City,Senior Video Producer,
344,Ecommerce Writer,Meredith Corporation,"$58,500 ","Female, white",4,New York,,,Meredith,58500,,4,New York City,Beat Reporter,
345,Reporter,Miami Herald,"$50,000 ",,2 years FT,Miami,"Covers statewide and national politics and policy, with a focus on cannabis and the 2020 election","2018: $39,000, 2017: $12/hour intern",Miami Herald,50000,,2,Miami,Reporter,
348,Business Channel Director,MJH Life Sciences,"$62,000 ",White,20,"Lenexa, Kansas","Editing, writing, programming events",,MJH Life Sciences,62000,,20,"Lenexa, Kansas",Editor,
349,News Leader,MLive.com - Advanced Publications,67000,cis white male,9,Michigan,Overseeing the day-to-day operation of the newsroom.,"Reporter - $42,000; News Editor - $36,000",Advance Local,67000,,9,Michigan,Managing Editor,
350,Associate Editor,Monthly Music Trade Pub,"37,000 + Bonus",Cis White Male,1,Chicago,,,Monthly Music Trade Pub,37000,,1,Chicago,Editor,
351,Editorial Fellow,Mother Jones,$15/hour plus $200 monthly health stipend,non-binary,3,San Francisco,"Fact checking, reporting, writing for the web and print magazine",,Mother Jones,,x,3,San Francisco,Fellow,
352,Associate Web Editor,MSP Communications,"$32,000 ",Cis white Female,6,Minneapolis,"-Assist or lead newsletter production (two newsletters a week, plus three more monthly) . -Write 2-4 web articles daily, 1-2 enterprise pieces weekly for the website - contribute stories for the monthly print magazine -occasionally assist in fact checking",Police and Towns reporter for a regional daily newspaper in Massachusetts,MSP Communications,32000,,6,Minneapolis,Editor,
354,Coordinator,National Geographic,"$55,000/$26.45 hourly",cis POC female,3,Washington DC,"Handling business development, editorial, marketing, administrative needs for various media products.",Administrative Associate (FT at a university in Washington DC) - $20.59 hourly,National Geographic,55000,,3,Washington DC,Coordinator,
355,Senior Producer,National Geographic,"71,000",white cis female,10,"Washington, D.C.","Social media management/strategy, audience development, writing stories",Previous: $60K working at nonprofit,National Geographic,71000,,10,"Washington, D.C.",Senior Producer,
357,Senior Writer,NBC News,"$180,000 ",White female,40,New York,Doing it all - solo specialist writer also editing and reporting for a digital news vertical and for TV,"Previous salary as an editor at a magazine @ $120,000",NBC News,180000,,40,New York City,Senior Reporter,
359,Associate Producer,NBC News,80000,white woman,4,New York,everything under the sun for audio production,,NBC News,80000,,4,New York City,Producer,
360,Reporter,NBC News,120000,Cis WOC,8,New York,"enterprise, investigative reporting, some breaking news/daily news","72k (reporter), 26k (reporter), 8k (Freelance reporter - I had other part time jobs to supplement)",NBC News,120000,,8,New York City,Reporter,
361,Producer,NBC News,"94,500k",Asian American Cis Woman,4,New York City,Oversee editorial calendar and all production/shooting/editing/graphics for a vertical,Senior Producer for national magazine @ 75K / Associate Producer at national magazine @ 55K,NBC News,94500,,4,New York City,Producer,
362,Video Producer/Editor,NBC Owned Television Stations Group,"78,000",cis white male,10,New York City,Editing and posting web videos to websites and social media,,NBC Owned Television Stations Group,78000,,10,New York City,Producer,
363,Associate producer,NBC Sports Bay Area,"$50,000 ",Carry on!!,2,San Francisco,"Managing social media accounts, producing segments on pre/postgame shows, pitching ideas for shows, fill in producing, producing local sports hits/news updates, fill in producing live shows ( for no extra salary), field producing live events, producing feature stories","2016: $45,00 2017: 46,500 2018: 48,500",NBC Sports Bay Area,50000,,2,San Francisco,Producer,
364,Producer,NBC Sports Bay Area,"$78,000 ",Cis white male,6,San Francisco,"Stacking show rundown, communicating with staff, managing talent, boothing live shows",,NBC Sports Bay Area,78000,,6,San Francisco,Producer,
365,Associate Producer,NBC Sports Bay Area,"$50,000 ",Cis white male,2,San Francisco,"Produce segments for pre/postgame shows, fill in produce hour broadcast shows, manage social media accounts, produce feature stories, produce/edit news updates and local sports segments, field produce","2016: 45,000 2017: 46,500 2018: 48,000",NBC Sports Bay Area,50000,,2,San Francisco,Producer,
366,Show Producer,NBC Sports Bay Area,"$78,000 ",Cis white male,6,San Francisco,"Create ideas for pre/postgame shows, stack rundown, manage production/technical crew/talent, booth shows, produce feature stories, produce/edit news updates and local sports segments","Associate producer: $50,000",NBC Sports Bay Area,78000,,6,San Francisco,Producer,
367,digital journalist/editor,NBC Universal,"95,000",cis WOC,10,LA,"Write enterprise stories, copy edit myself, assign out to freelancers, post to social media","$33,000 - local TV news producer, mid-market // $52,000 - local TV news digital director // $75,000 - local TV news senior digital reporter/editor, Top 10 market",NBC Universal,95000,,10,Los Angeles,Reporter,
368,Reporter/Producer,NET,"$38,500 ",cis white female,~3 years,Nebraska,"reporting, audio production, substitute radio hosting","$7.25/hr intern, NPR member station; $13/hr, intern, NPR HQ in DC",NET,38500,,3,Nebraska,Reporter/editor,
371,Deputy editorial director,New York Magazine,"$150,000 ",F/W,,New York,,,New York Magazine,150000,,,New York City,Deputy Managing Editor,
372,Vertical Managing Editor,New York Magazine,"65,000",Cis Female / White,4,New York,,,New York Magazine,65000,,4,New York City,Managing Editor,
375,Reporter,New York Post,"70,000 plus OT",White Latina,6,New York,,,New York Post,70000,,6,New York City,Reporter,
376,Senior editor,New York Times,"$195,000 (plus bonus, usually $40,000)",M/White,40,New York,"editing, supervising staff of 18",LOL,New York Times,195000,,40,New York City,Senior Editor,
377,senior editor,New York Times,"$128,000 base + bonuses (~$10,000)",cis biracial man,7,New York City,"edit, assign articles for web, putting together print packages","hired as senior editor at $107,000 in 2017",New York Times,128000,,7,New York City,Senior Editor,
379,Staff Report,New York Times,120000,Straight White Male,3,New York,Reporting on my beat,,New York Times,120000,,3,New York City,Reporter,
380,Staff Editor,New York Times,"$103,000 ",cis-female/black,3,New York,"assign, edit and (sometimes) write articles","fact checker, 68,000/ fact checker, 30,000 / intern, min wage",New York Times,103000,,3,New York City,Editor,
381,Deputy Editor (Department),New York Times,130000,cis-male-white,18,New York,Coordinate content among departments,,New York Times,130000,,18,New York City,Deputy Editor,
382,FACT-CHECKER,NEW YORK/VOX,"42,000",CIS WOMAN,1,NEW YORK,,,Vox Media,42000,,1,New York City,Fact Checker,
387,Reporter,Newsy,"$49,108.80 ",Cis Female / Asian American,5,"Chicago, IL","Beat Reporting, Video Editing, On-Air Anchoring/Voice-Overs.","Freelance Photographer/Videographer (< $20,000), General Assignment Reporter ($32,000)",Newsy,49109,,5,"Chicago, IL",Reporter,
388,Editor,Newsy,"63,000",cis woman of color,15,Chicago,copyediting,,Newsy,63000,,15,Chicago,Editor,
390,Photographer,Non-profit Media,50000,POC / Cis / Male,5,Texas,"Photography, photo editing, web layout/design, videography and editing","Video Producer in NYC: $62,000, Multimedia Producer in TX: $20K (part-time)",Non-profit,50000,,5,Texas,Photojournalist,
391,Reporter,Non-profit outlet,"$90,000 ",Cis POC Female,10,San Francisco Bay Area,"writing, reporting",,Non-profit,90000,,10,San Francisco,Reporter,
393,Investigative Reporter,Nonprofit,"$60,000 ",cis white female,3,Chicago,"Report and write investigative stories, shoot photo/video, data analysis",,Non-profit,60000,,3,Chicago,Reporter,
395,Senior Reporter,Nonprofit outlet,"$47,500 ",cis het Male/POC,8,New York City,"reporting, writing, some editing","Starting salary $25,000/staff reporter",Non-profit,47500,,8,New York City,Senior Reporter,
396,Associate Producer,NowThis,"57,500",,2,New York,"editing social video, producing/shooting original content, writing scripts",,NowThis,57500,,2,New York City,Producer,
397,Editor,NPR,$105k,cis white man,4,DC,audio side,,NPR,105000,,4,"Washington, D.C.",Editor,
398,Temporary Producer - Social media desk,NPR,"45,000",cis white male,1,"Washington, D.C.",,"Didn't negotiate, was made to feel like I couldn't (you totally can). Union has negotiated minimum salaries for all temp workers",NPR,45000,,1,"Washington, D.C.",Producer,
399,Assoc. editor,NPR,"$82,000 ","Male, white, straight",9,New York,"Editing, commissioning, producing","Editor, writer",NPR,82000,,9,New York City,Editor,
400,Assistant Producer,NPR,"$70,000 ",Cis white queer female,1,DC,"Strategy for emerging news experiences - includes expertise in tech and media, audio production, journalism and tech ethics, etc.","Intern x4, from $0-13.50",NPR,70000,,1,"Washington, D.C.",Assistant Producer,
401,Data journalist,NPR,"$103,000 ",male/white,5,DC,"Analyze data, write stories for npr.org, create data visualiziations",Staring salary: ~$90k (minimum for union band Editor I),NPR,103000,,5,"Washington, D.C.",Data reporter,
404,senior online producer,NPR affiliate,"$80,000 ",cis white female,15,Los Angeles,"reporting and writing stories, overseeing a vertical on the radio station's site, assigning stories, editing stories, managing editorial calendar and budget, helping turn online stories to broadcast ones and broadcast stories into online stores, occasionally appearing on air, occasionally covering broadcast news.","writer, reporter, editor, online producer",NPR affiliate,80000,,15,Los Angeles,Senior Digital Producer,
407,Program Manager,NPR Affiliate,"65,000",white cis female,5,Boston,,,NPR Affiliate,65000,,5,Boston,Managing Editor,
408,Production Coordinator,NPR Affiliate,"$42,000 ",white cis female,1,Boston,"Daily research for public radio news magazine, audio production, booking, digital writing, show direction.",3.5 years as local daily newspaper reporter.,NPR Affiliate,42000,,1,Boston,Production Coordinator,
409,Digital News Editor,NPR Affiliate,"$37,000 ",Male / White,3,Columbus,"Editing and producing digital news content, reporting breaking news online, managing social media, photography, occasional radio reporting",,NPR Affiliate,37000,,3,Columbus,Editor,
410,Engagement editor & reporter,NPR affiliate,"$43,000 ",cis white female,2,Wisconsin,"Social media management, newsletter curation, metrics reporting, grant writing assistance, reporting","$11/hr at Vox (intern), $12.50/hr at WI media non-profit (intern), $7.50/hr Wisconsin political outlet (intern)",NPR affiliate,43000,,2,Wisconsin,Audience/Social Editor,
412,reporter,NPR affiliate,"47,500",cis white hetero woman,6,Texas,"report, write, and produce stories for radio and web","reporter: $42,000",NPR affiliate,47500,,6,Texas,Reporter,
416,Digital Producer,NPR affiliate in D.C.,"65,000","cis-female, bi-racial (white/south asian)",1,"Washington, D.C.","audience engagement, social media posting, website wrangling, occasional on-air production, other duties as assigned.","freelance producer, $30/hr, intern ($12/hr and before that unpaid)",NPR Affiliate,65000,,1,"Washington, D.C.",Digital Producer,
417,Reporter,NPR affiliate station,"$50,000 ",cis female/mixed race,7,Atlanta,"reporting, audio production",reporter,NPR affiliate station,50000,,7,Atlanta,Reporter,
419,Reporter,NPR Member Station,"50,000",cis white woman,5,Florida,,,NPR Member Station,50000,,5,Florida,Reporter,
421,Reporter,NPR member station,"69,000",Cis white woman,11,Boston,Report and write stories,"Reporter, online news organization, $75,000; reporter Midwest daily, $60,000",NPR member station,69000,,11,Boston,Reporter,
422,Janitor,NTY,"$19,000 ",Hispanic,15,New York City,Cleaning,,NTY,19000,,15,New York City,Janitor,
424,Deputy Editor,NYC Local News,"$160,000 ",Black man,20,New York,"Edit stories, assign stories, managerial and personnel duties","$150,000 as senior editor on major national news network digital team",NYC Local News,160000,,20,New York City,Deputy Editor,
427,Correspondent,NYT,"$61,000 ",cis white female,14,SF,"Reporting, researching, writing, lots of rounds with editors",,New York Times,61000,,14,San Francisco,Reporter,
433,Editorial Assistant,NYT,"68,000",Cis white female,2,New York,"fact checking, schedule maintaining, administrative duties","Assistant editor of a regional magazine, 28,000",New York Times,68000,,2,New York City,Editorial Assistant,
434,Producer,NYT,"76,000",Cis white female,5,New York,Podcast production,"Editorial assistant, 66,0000",New York Times,76000,,5,New York City,Producer,
436,Metro reporter,NYT,"120,000","Female, white",8,New York,General Assignment & Investigations,"Trainee reporter (8i or ""fellow"") $75,000 [set rate] junior reporter: $95,000, metro reporter $105,000",New York Times,120000,,8,New York City,Beat reporter,
437,Video Producer,NYT,"83,000",cis PoC Woman,7,New York,"Pitching, researching, reporting video news stories. Editing video and occasional filming.","45,000 Producer & On-Camera Reporter salary; 55,000 Producer & On-Camera Reporter",New York Times,83000,,7,New York City,Producer,
439,Community reporter,Observer Media Group,"$33,000 ",Cis white female,1,"Sarasota, FL","Event coverage, enterprising features, social media, posting stories, calendar",Mizzou j-school student/Vox Magazine city life editor,Observer Media Group,33000,,1,"Sarasota, FL",Community reporter,
440,Staff Reporter,Ogden Newspapers,$14.91 per hour,cis white male,3+ years experience,Utah,"daily beat reporting, photos, social media",,Ogden Newspapers,,x,3,Utah,Reporter,
442,Engagement editor,Online nonprofit,"45,000",cis POC female,2,Chicago,"Manage social accounts and build strategy, audience-driven reporting, work on engagement strategy for stories",First job out of undergrad. Have not received a merit raise.,Non-profit,45000,,2,Chicago,Editor,
443,Reporter,Oregon Public Broadcasting,"64,000",white cis female,9,Oregon,"pitching, reporting and producing stories for radio and digital",,Oregon Public Broadcasting,64000,,9,Oregon,Reporter,
444,Freelance Writer,Outside Magazine,50 cents a word,Caucasian,3,"Los Angeles, CA",,,Outside Magazine,,x,3,"Los Angeles, CA",Freelance,
445,Photo Editor,OZY media,80k,CIS Female / Hispanic,3,Mountain View California,"Selecting stock images for general stories, hiring freelancers around the world, commissioning illustrations for conceptual stories, creating photo illustrations, data viz development, negotiating one off photo purchases, photographing in the field",Prior to that as an associate photo editor I made $20-25 an hr on contract for a Condé Nast Publication,OZY media,80000,,3,Mountain View California,Photo Editor,
446,Photo Editor,OZY media,80k,CIS Female / Hispanic,3,Mountain View California,"Selecting stock images for general stories, hiring freelancers around the world, commissioning illustrations for conceptual stories, creating photo illustrations, data viz development, negotiating one off photo purchases, photographing in the field",Prior to that as an associate photo editor I made $20-25 an hr on contract for a Condé Nast Publication,OZY media,80000,,3,Mountain View California,Photo Editor,
451,Local editor,Patch.com,"$48,000/year",cis female/white,10,Colorado,Daily content for 9 hyperlocal sites,"$40,000/year local reporter/Chronicle Illinois/Illinois
$28,000/year local reporter/Wednesday Journal Inc./Illinois
$155/day writer United Press International",Patch,48000,,10,Colorado,Reporter/editor,
452,Producer,PBS NewsHour,"75,000",Cis woman / white,5,"Washington, DC",,,PBS NewsHour,75000,,5,"Washington, DC",Producer,
454,Digital producer,Pew Research Center,~60000 after tax,Cis white woman,5,DC,Manage digital production + more for a key and valuable project.,,Pew Research Center,,x,5,"Washington, D.C.",Digital Producer,
455,Reporter,Philadelphia Inquirer,"$62,000 ",cishet white female,6 years,"Philadelphia, Pa","Reporting, writing. The usual.","Reported at various other local news pubs, started at $50K, then $55K now ~$62K",Philadelphia Inquirer,62000,,6,"Philadelphia, Pa",Reporter,
456,Reporter,Philadelphia Inquirer,"$66,000 ",cis poc female,8 years,Philadelphia,reporting and writing,"Started at $30K for a grant-funded, 30-hour/wk job that was essentially full-time w/ no benefits, then online publication where I started at $31K as a full-time reporter w/ no benefits, eventually got benefits and worked up to $50K after five years and becoming editor",Philadelphia Inquirer,66000,,8,Philadelphia,Reporter,
457,Digital Editor,Philadelphia Tribune,"60,000",Female,10,Philadelphia,"Managed newspaper website, updated breaking news, managed social media, video stories",,Philadelphia Tribune,60000,,10,Philadelphia,Editor,
458,Copy editor and page designer,Pittsburgh Post-Gazette,"60,480",Female / White,5,"Pittsburgh, PA",Copy editing and page design,"I was hired as a two-year associate (an entry level job) and made $29K the first year, $31,850 the second year, then got bumped to $46,526 the third year.",Pittsburgh Post-Gazette,60480,,5,"Pittsburgh, PA",Copy editor/page designer,
460,Reporter,POLITICO,73000,Cis white female,3,New York,Writing daily stories and working on a daily newsletter,"43000, associate editor at SourceMedia",POLITICO,73000,,3,New York City,Reporter,
461,reporter,Politico,"70,000",male/bi-racial,7,DC,daily reporting,"53,000 at previous magazine",POLITICO,70000,,7,"Washington, D.C.",Reporter,
462,Digital Producer,POLITICO,"$50,000 ",cis white female,1.5,"Washington, D.C.","Copy editing content, formatting articles for the website, arting stories, tracking stats, occasional writing tasks, other misc. jobs","Reporting intern, $33,000; Reporting intern, $400/mo",POLITICO,50000,,1.5,"Washington, D.C.",Digital Producer,
463,Assistant editor,Popular Science,"$48,000 ",cis white female,7,New York,"write multiple stories a week for the website, edit multiple web freelance stories a week, manage a section of the print magazine (pitch, assign, and edit pieces, coordinate with art, etc.), write for each section of the print magazine, contribute to a weekly podcast, appear on 3rd party media as needed","promoted from editorial assistant, which had a salary of $40,000",Popular Science,48000,,7,New York City,Deputy Editor,
464,Web Editor,Postmedia,"50,000 (Canadian, no vacation/benefits)","Cisgender female, POC",5,Toronto,,,Postmedia,,x,5,Toronto,Editor,
465,Multimedia reporter,Postmedia (Timmins Daily Press),"$1,362 biweekly (approx. $35,000)","White, cis, bi, female",7,"Timmins, ON","* This was an offer, which I turned down because I had already established to the company that I was making more than $10K more per year at the time. They had been searching for a reporter for several months prior and continued their search for six months after.

Five days per week (Tuesday - Saturday) with overtime. Mainly City Hall and court reporting. Some editing required. Own car required. Photography required. Some videography required. Offer was made knowing that I would be moving from Toronto; no compensation for relocation was offered.","News editor for a Toronto print magazine, staff writer and news editor for a Toronto B2B mag, editor of several ongoing special projects at said B2B mag",Postmedia,35000,,7,"Timmins, ON",Reporter,
466,Managing Editor,powerHouse Books,"$54,000 ",CIS White Male,12,"Brooklyn, NY","Oversee production, traffic digital and physical materials, vet and acquire new titles, copyedit all titles, oversee designers, interns, broader editorial and creative direction, more...","Starting salary around $26,000 in 2009",powerHouse Books,54000,,12,"Brooklyn, NY",Managing Editor,
470,Media + Photo Teacher,Public High School,"90,000",Cis white female,14,Ohio,Teach digital media and photography to teenagers,Freelance photographer for national publications,Public High School,90000,,14,Ohio,Media Teacher,
472,Staff Photographer,Pueblo Chieftain (Gatehouse Media),"$15.1/hr, ($31,500/yr)",Male / white,8,"Pueblo, Colorado",Shoot and edit assignments. Arrange long term stories. Advocate for visual department in the newsroom.,"$28,000/yr, $25,000/yr",Pueblo Chieftain,,x,8,"Pueblo, Colorado",Photojournalist,
474,Reporter,Quartz,"$79,000 ",cis-het white male,10 years,California,"Reporting, writing, the usual.",varied,Quartz,79000,,10,California,Reporter,
475,Reporter,Quartz,"$62,000 ",cis white male,5,New York,"Reporting, writing",,Quartz,62000,,5,New York City,Reporter,
477,Deputy news editor,Quartz,"$90,000 ",male,15,new york,"supervise 5 reporters, edit copy",,Quartz,90000,,15,New York City,Deputy Editor,
478,Radio Morning Personality,Radio,"82,000",Cis/White/Female,12,San Francisco,Gather interesting and local stories to package in an entertaining way to SF commuters,,Radio,82000,,12,San Francisco,Host,
479,Producer/Editor,Red Bull Media House,"75,000",CIS White Female,10,Los Angeles,"Story production, interviewing, budgeting, identifying storylines, editing, etc","Culture Editor/65,000, Deputy Editor/36,000",Red Bull Media House,75000,,10,Los Angeles,Producer,
481,Senior Editor,Refinery29,"61,000","female, biracial",6,"New York, NY",,,Refinery29,61000,,6,New York City,Senior Editor,
482,Staff writer,Refinery29,"$60,000 ",cis white female,1.5,"New York, New York","writing news stories & features, researching",previously a freelance news writer ($15/hour),Refinery29,60000,,1.5,New York City,Reporter,
483,Staff writer,Refinery29,"$63,000 ","Cis, white",5,New York,Write and pitch mostly search-driven stories,"$52,000 - news writer",Refinery29,63000,,5,New York City,Reporter,
484,Staff Writer,Refinery29,"58,500",cis white woman,6,New York,Write both shortform & longform pieces,,Refinery29,58500,,6,New York City,Reporter,
485,Senior Editor,Refinery29,"92,000",cis white female,8,LA,,,Refinery29,92000,,8,Los Angeles,Senior Editor,
486,Editorial Director,Refinery29,"$190,000 ",F/W,,New York,,,Refinery29,190000,,,New York City,Managing Editor,
487,Political reporter,regional magazine,$500 a month,Cis male/white,2,Upstate NY,reporting on congressional politics,Unpaid Intern,Regional magazine,,x,2,"Albany, NY",Beat reporter,
488,Reporter,Regional magazine,"$61,700 ",cis white woman,2,North Carolina,"Reporting, including longform features and shorter pieces, investigative projects social media","$30k--editorial fellow at The Atlantic, bumped to $35k",Regional magazine,61700,,2,North Carolina,Reporter,
489,Reporter,Report for America,"$35,500 ",Female/White,4,Mountain West,Produce 3-4 local news stories a week.,45k--Producer at NPR affiliate,Report for America,35500,,4,Mountain West,Reporter,
492,Senior Staff Writer,Reviewed,"$45,450 ",Poc Cis Male,7+ years,Boston,Product reviews and photography,,Reviewed,45450,,7,Boston,Senior Reporter,
493,Senior Staff Writer,Reviewed,"$49,000 ",,5+ years,Boston,"testing, writing, editing",,Reviewed,49000,,5,Boston,Senior Reporter,
498,Assistant Editor,Rolling Stone,"$60,500/year","Woman, Latina",8,"New York, NY",Editing daily news and features. Writing no less than 20 articles a month. Interviewing in English and Spanish. Translating. Transcribing.,"Web Producer - $43,000/year",Rolling Stone,60500,,8,New York City,Deputy Editor,
500,Associate Editor,Sagacity Media,"$40,000 ",Cis white male,3,Houston,"-edit/contribute 8 blogs per week
-report FOB section
-longform
-edit/contribute to cover packages/service features
-breaking news as needed",n/a (first job),Sagacity Media,40000,,3,Houston,Editor,
501,Staff writer,Salt Lake Tribune,"$39,500 ",cis-homo white female,4 years,Utah,Crime/criminal justice reporting/breaking news,"Reporter at Tulsa World newspaper - $34,000",Salt Lake Tribune,39500,,4,Utah,Reporter,
502,Reporter,Salt Lake Tribune,"$49,000 ",,10 years,Utah,"Covering legal affairs, criminal justice, etc",,Salt Lake Tribune,49000,,10,Utah,Reporter,
503,Engagement manager,Salt Lake Tribune,"$42,000 ","White, cis female",3,"Salt Lake City, Utah","Help manage social media accounts and website; optimizes stories for web; builds and sends newsletters; gathers/analyzes site traffic and reader habits, sends push alerts; helps with audience outreach efforts","Web manager, web producer",Salt Lake Tribune,42000,,3,"Salt Lake City, Utah",Audience/Social Editor,
504,Reporter II,San Diego Union-Tribune,"59,000","Cis bi female, white",7,San Diego,"Breaking news, cops, courts, criminal justice, data analysis","35,000 when I was first hired, 40,000 three years in, 44,000 five years in",San Diego Union-Tribune,59000,,7,San Diego,Reporter,
505,Producer,San Francisco Chronicle,"$70,000 ",POC female,"7 years total experience, ~3 years related experience",San Francisco,"-homepage management
- digital project managment
- audio producer
- social media lead for three accounts
- Oversee digital strategy for a content vertical","$75,000 at previous company as a content producer in 2016
$50,000 in 2014",San Francisco Chronicle,70000,,7,San Francisco,Digital Producer,
506,Staff writer,San Francisco Chronicle,95000,NB PoC,5,San Francisco,Weekly features,,San Francisco Chronicle,95000,,5,San Francisco,Reporter,
507,Photo Editor,San Francisco Chronicle,70k,CIS Female / Hispanic,5,San Francisco,"Managing Daily Photo Assignment Schedule, Booking Freelancers, Creating Shift Rotation during breaking news, Editing imagery for web and daily inside sections. 50-60 hrs a week.",20-25 and hour at first Media job WFH 'Associate Photo Editor' / 80K at Media Startup 'Senior Photo Editor',San Francisco Chronicle,70000,,5,San Francisco,Photo Editor,
508,Digital Editor,Santa Barbara Independent,35360,"Queer male, mixed MENA/Latinx PoC",1,"Santa Barbara, CA","Home page management (independent.com), reporting breaking news, producing video, managing social media accounts, shooting photos on occasion, digital strategy","Studio Assistant, $31,200",Santa Barbara Independent,35360,,1,"Santa Barbara, CA",Editor,
509,Digital Editor,Santa Barbara Independent,$18/hour,cis poc female,2,Santa Barbara,"* curate homepage, manage social media/newsletters, shoot/produce video, content strategy, design interactive cover stories",Digital Media Producer ($21/hour),Santa Barbara Independent,,x,2,Santa Barbara,Editor,
513,Audience Engagement Editor,Science News,"$61,400 ",Cis-het white male,5,DC,"Social media, web analytics, newsletter production, reader feedback management, editorial-side audience strategy",,Science News,61400,,5,"Washington, D.C.",Audience/Social Editor,
514,Reporter,Scripps,"48,000",Black woman,4,"Norfolk, VA",TV reporter / MMJ,"32,000 MMJ",Scripps,48000,,4,"Norfolk, VA",Reporter,
515,Tv News Photographer,Scripps,"$69,000 ","Female, White",14,Ohio,,,Scripps,69000,,14,Ohio,Photojournalist,
516,freelance writer and content creator,self,This year: $40k comprising regular content contracts and freelance travel writing.,female / white,20,"Minneapolis, MN",Creating content for magazines & websites as well managing social media for a client and creating original content for their blog.,"Senior editor through executive editor at travel, home and parenting consumer magazines (salary from $52k - $76k).",Freelance,40000,,20,"Minneapolis, MN",Freelance writer,
519,Copy Editor,Shaw Media,37000,cis white female,10,Chicago suburbs,"Laying out newspaper pages, editing articles, posting to web, writing headlines, editing and choosing photos, putting together photo galleries, editing and choosing wire stories, managing and training other copy editors, occasionally writing, reporting and shooting videos","$27,900/Copy editor/paginator/Digital First Media in Ohio
$28,000/Copy editor/paginator/Gannett in Ohio",Shaw Media,37000,,10,Chicago,Copy Editor,
528,Editor,Small chain,"37,200",White male,25,North Dakota,,"Reporter Minot Daily News 21,000, Reporter Bismarck Tribune 28,000",Small chain,37200,,25,North Dakota,Editor,
529,Assistant Editor,small non-profit newsroom,"45,000",Cis Male PoC,2,New York City,"research, fact-checking, editing",,Non-profit,45000,,2,New York City,Deputy Editor,
530,visuals editor,small non-profit publication,60000,cis woc,6,New York,"edit photo essays, short documentary videos, some writing and program management,",,Non-profit,60000,,6,New York City,Editorial Assistant,
